"_id","Fiscal_Year","Budget_Type","Organization_Entity","Command_Name","Pillar_Name","District_Name","Unit_Name","Feature_Category","Cost_Element","Cost_Element_Long_Name","Amount"
831,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4811","WIRELESS TELECOMMUNICATIONS SERVICES",300
832,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Salaries","1502","REGULAR SALARIES CIVILIAN SENIOR OFFICER",315500
833,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4815","COURIER SERVICES",100
834,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","6570","BANK SERVICE CHARGES",5000
835,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","6590","COLLECTION AGENCY FEES",800
836,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Benefits","1746","EMPLOYMENT INSURANCE - CIVILIAN",13200
837,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Benefits","1765","CANADA PENSION PLAN - CIVILIAN",38400
838,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Benefits","1776","OMERS CIVILIAN - CIVILIAN",145600
839,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Materials & Supplies","2010","STATIONERY AND OFFICE SUPPLIES",4300
840,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Premium Pay","1582","CIVILIAN OVERTIME",500
841,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Premium Pay","1584","CIVILIAN LIEU TIME CASH PAYMENT",4200
842,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Salaries","1502","REGULAR SALARIES CIVILIAN SENIOR OFFICER",617800
843,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Operations Support","Operations Support","Services","4760","MEMBERSHIP FEES",700
844,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Salaries","1505","REGULAR SALARIES CIVILIAN A",663000
845,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Services","4255","CONFERENCES/SEMINARS - OTHER EXPENSES",1600
846,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Services","4312","COURSES/SEMINARS",4100
847,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Services","4760","MEMBERSHIP FEES",4300
848,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Services","4770","PARKING EXPENSES (INTOWN)",100
849,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Services","4811","WIRELESS TELECOMMUNICATIONS SERVICES",400
850,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Budget & Financial Analysis","Services","4815","COURIER SERVICES",100
851,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Benefits","1746","EMPLOYMENT INSURANCE - CIVILIAN",34200
852,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Benefits","1765","CANADA PENSION PLAN - CIVILIAN",99100
853,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Benefits","1776","OMERS CIVILIAN - CIVILIAN",282900
854,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Materials & Supplies","2010","STATIONERY AND OFFICE SUPPLIES",10200
855,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Premium Pay","1582","CIVILIAN OVERTIME",10600
856,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Premium Pay","1583","CIVILIAN CALLBACK",5300
857,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Premium Pay","1584","CIVILIAN LIEU TIME CASH PAYMENT",18500
858,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Operations Support","Facilities Management","Services","4760","MEMBERSHIP FEES",2200
859,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Records Management Services","Information Access","Revenues","8545","FOI REQUEST FEES",-36300
860,"2021","Approved Budget","1 - Toronto Police Service","Human Resources Command","Corporate Risk Management","Corporate Risk Management","Professional Standards","Premium Pay","1584","CIVILIAN LIEU TIME CASH PAYMENT",1200
861,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Records Management Services","Information Access","Revenues","8547","CLEARANCE LETTER FEES",-950000
862,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Operations Support","Facilities Management","Services","4770","PARKING EXPENSES (INTOWN)",100
863,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Operations Support","Operations Support","Services","4811","WIRELESS TELECOMMUNICATIONS SERVICES",900
864,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Employee Services","Salaries","1505","REGULAR SALARIES CIVILIAN A",2353200
865,"2021","Approved Budget","1 - Toronto Police Service","Human Resources Command","Corporate Risk Management","Corporate Risk Management","Professional Standards","Salaries","1503","REGULAR SALARIES UNIFORM SENIOR OFFICERS",509900
